timestamp,document_url,document_hash,question,answer,response_time_ms,endpoint_type,cache_used,chunk_count,confidence_score
2025-08-09T13:17:54.626939,https://hackrx.blob.core.windows.net/assets/Family%20Medicare%20Policy%20(UIN-%20UIIHLIP22070V042122)%201.pdf?sv=2023-01-03&st=2025-07-22T10%3A17%3A39Z&se=2025-08-23T10%3A17%3A00Z&sr=b&sp=r&sig=dA7BEMIZg3WcePcckBOb4QjfxK%2B4rIfxBs2%2F%2BNwoPjQ%3D,1c0105aef18f7455e602d4a6248f5483,Is Non-infective Arthritis covered?,"Yes, Non-infective Arthritis is covered.",1208.85,standard,TRUE,125,
2025-08-09T13:17:54.630583,https://hackrx.blob.core.windows.net/assets/Family%20Medicare%20Policy%20(UIN-%20UIIHLIP22070V042122)%201.pdf?sv=2023-01-03&st=2025-07-22T10%3A17%3A39Z&se=2025-08-23T10%3A17%3A00Z&sr=b&sp=r&sig=dA7BEMIZg3WcePcckBOb4QjfxK%2B4rIfxBs2%2F%2BNwoPjQ%3D,1c0105aef18f7455e602d4a6248f5483,"I renewed my policy yesterday, and I have been a customer for the last 6 years. Can I raise a claim for Hydrocele?","Yes, you can raise a claim for Hydrocele. The policy does not deny renewal based on previous claims.",1208.85,standard,TRUE,125,
2025-08-09T13:17:54.632589,https://hackrx.blob.core.windows.net/assets/Family%20Medicare%20Policy%20(UIN-%20UIIHLIP22070V042122)%201.pdf?sv=2023-01-03&st=2025-07-22T10%3A17%3A39Z&se=2025-08-23T10%3A17%3A00Z&sr=b&sp=r&sig=dA7BEMIZg3WcePcckBOb4QjfxK%2B4rIfxBs2%2F%2BNwoPjQ%3D,1c0105aef18f7455e602d4a6248f5483,Is abortion covered?,"No, abortion is not covered.",1208.85,standard,TRUE,125,
2025-08-09T13:18:01.376449,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,What is the official name of India according to Article 1 of the Constitution?,The official name of India according to Article 1 of the Constitution is 'India'.,3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.379270,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,Which Article guarantees equality before the law and equal protection of laws to all persons?,Article 14 of the Constitution of India guarantees equality before the law and equal protection of laws to all persons.,3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.381271,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,What is abolished by Article 17 of the Constitution?,Article 17 of the Constitution abolishes 'Untouchability' and forbids its practice in any form.,3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.382272,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,What are the key ideals mentioned in the Preamble of the Constitution of India?,"The key ideals mentioned in the Preamble of the Constitution of India are: justice, liberty, equality, and fraternity.",3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.383283,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"Under which Article can Parliament alter the boundaries, area, or name of an existing State?","Parliament can alter the boundaries, area, or name of an existing State under Article 3 of the Constitution.",3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.386280,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"According to Article 24, children below what age are prohibited from working in hazardous industries like factories or mines?",Children below the age of fourteen years are prohibited from working in any factory or mine or engaged in any other hazardous employment.,3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.388280,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,What is the significance of Article 21 in the Indian Constitution?,Article 21 of the Indian Constitution is significant because it guarantees the right to life and personal liberty to every citizen. It also provides that no person shall be deprived of his life or personal liberty except according to procedure established by law.,3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.389275,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"Article 15 prohibits discrimination on certain grounds. However, which groups can the State make special provisions for under this Article?","The State can make special provisions for women and children, socially and educationally backward classes of citizens, Scheduled Castes, and Scheduled Tribes under Article 15.",3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.395317,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,Which Article allows Parliament to regulate the right of citizenship and override previous articles on citizenship (Articles 5 to 10)?,Article 11 allows Parliament to regulate the right of citizenship and override previous articles on citizenship (Articles 5 to 10).,3108.21,standard,TRUE,1067,
2025-08-09T13:18:01.396282,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,What restrictions can the State impose on the right to freedom of speech under Article 19(2)?,The State can impose restrictions on the right to freedom of speech under Article 19(2) if it is declared by law that it is necessary to do so for the purpose of dealing with a situation arising from scarcity of goods in any part of the territory of India.,3108.21,standard,TRUE,1067,
2025-08-09T13:18:14.896920,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If my car is stolen, what case will it be in law?","If your car is stolen, it would typically be a case of theft under criminal law.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.897510,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If I am arrested without a warrant, is that legal?","No, it is not legal to be arrested without a warrant.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.898020,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If someone denies me a job because of my caste, is that allowed?","No, it is not allowed. The Constitution of India prohibits discrimination based on caste.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.898020,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If the government takes my land for a project, can I stop it?","Yes, you can stop the government from taking your land for a project if the law authorizing the acquisition is inconsistent with your rights under Article 14 or Article 19 of the Constitution.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.899033,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If my child is forced to work in a factory, is that legal?","No, it is not legal for your child to be forced to work in a factory.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.899033,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If I am stopped from speaking at a protest, is that against my rights?","Yes, being stopped from speaking at a protest could potentially be against your rights, specifically your right to freedom of speech and expression, which is protected under Article 19 of the Constitution of India.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.900031,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If a religious place stops me from entering because I'm a woman, is that constitutional?","No, it is not constitutional for a religious place to stop you from entering because you are a woman.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.900031,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If I change my religion, can the government stop me?","No, the government cannot stop you from changing your religion.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.901038,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If the police torture someone in custody, what right is being violated?","The right being violated is the right to be protected against arrest and detention in certain cases, specifically the right to be informed of the grounds for arrest and the right to consult and be defended by a legal practitioner of their choice.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:14.903039,https://hackrx.blob.core.windows.net/assets/indian_constitution.pdf?sv=2023-01-03&st=2025-07-28T06%3A42%3A00Z&se=2026-11-29T06%3A42%3A00Z&sr=b&sp=r&sig=5Gs%2FOXqP3zY00lgciu4BZjDV5QjTDIx7fgnfdz6Pu24%3D,53b05ea1fbdbcb373278f02258b9f900,"If I'm denied admission to a public university because I'm from a backward community, can I do something?","Yes, you can take legal action. The Constitution of India provides for special provisions for socially and educationally backward classes, including Scheduled Castes and Scheduled Tribes. These provisions allow for special provisions to be made for their advancement, including admission to educational institutions. If you are denied admission due to your community background, you can challenge this decision in court.",2689.2,standard,TRUE,1067,
2025-08-09T13:18:29.042333,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,How does Newton define 'quantity of motion' and how is it distinct from 'force'?,"Newton defines 'quantity of motion' as the measure of the same, arising from the velocity and quantity of matter concurrently. It is distinct from 'force' because while force is the cause of motion, quantity of motion is the effect of that force.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.043339,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,"According to Newton, what are the three laws of motion and how do they apply in celestial mechanics?","According to Newton, the three laws of motion are: 1) An object at rest stays at rest, and an object in motion stays in motion, unless acted upon by an external force. 2) The acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. 3) For every action, there is an equal and opposite reaction.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.044338,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,How does Newton derive Kepler's Second Law (equal areas in equal times) from his laws of motion and gravitation?,"Newton derives Kepler's Second Law (equal areas in equal times) from his laws of motion and gravitation by applying the principle that the force which retains a planet in its orbit is always directed towards the sun. He infers that the force by which the planet moves around that focus varies inversely as the square of its distance therefrom, and demonstrates that a planet acted upon by such a force could not move in any other curve than a conic section.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.046339,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,How does Newton demonstrate that gravity is inversely proportional to the square of the distance between two masses?,Newton demonstrates that gravity is inversely proportional to the square of the distance between two masses by using the law of universal gravitation. He shows that the force of gravity between two bodies is proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.048087,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,What is Newton's argument for why gravitational force must act on all masses universally?,"Newton's argument for why gravitational force must act on all masses universally is based on the principle of universal gravitation, which states that every particle of matter is attracted to every other particle of matter with a force inversely proportional to the squares of their distances. This principle is deduced from the motion of the moon and the three laws of Kepler, which Newton demonstrated to be true.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.050088,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,How does Newton explain the perturbation of planetary orbits due to other planets?,"Newton explains the perturbation of planetary orbits due to other planets by demonstrating that the gravitational force between planets is proportional to the product of their masses and inversely proportional to the square of the distance between them. This force causes the planets to disturb each other's orbits, especially when they are near their conjunctions.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.050088,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,"What mathematical tools did Newton use in Principia that were precursors to calculus, and why didn't he use standard calculus notation?","Newton used the method of fluxions in his Principia, which was a precursor to calculus. He did not use standard calculus notation because he preferred the geometrical method and his notation was not yet standardized.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.051077,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,How does Newton use the concept of centripetal force to explain orbital motion?,"Newton uses the concept of centripetal force to explain orbital motion by stating that all bodies in orbit tend to recede from the center of their orbits. However, they are restrained by a centripetal force that keeps them in their orbits. This force is directed towards the center of the orbit, which Newton calls the center of force.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.051077,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,"How does Newton handle motion in resisting media, such as air or fluids?","Newton handles motion in resisting media, such as air or fluids, by considering the resistance as proportional to the density of the medium. He demonstrates this through experiments with pendulums and falling bodies, showing that the resistance is greater in denser fluids.",2187.65,standard,TRUE,2194,
2025-08-09T13:18:29.053189,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,"In what way does Newton's notion of absolute space and time differ from relative motion, and how does it support his laws?","Newton's notion of absolute space and time differs from relative motion in that absolute space is considered to be a fixed, immovable frame of reference, while relative motion is defined in relation to this absolute space. Absolute time is also considered to be independent of any observer's frame of reference, while relative time is dependent on the observer's motion. This distinction supports Newton's laws by providing a consistent and absolute framework for the description of motion and time, which is crucial for the predictability and accuracy of his laws of motion.",2188.54,standard,TRUE,2194,
2025-08-09T13:18:29.054100,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,Who was the grandfather of Isaac Newton?,The grandfather of Isaac Newton was Robert Newton.,2188.54,standard,TRUE,2194,
2025-08-09T13:18:29.057103,https://hackrx.blob.core.windows.net/assets/principia_newton.pdf?sv=2023-01-03&st=2025-07-28T07%3A20%3A32Z&se=2026-07-29T07%3A20%3A00Z&sr=b&sp=r&sig=V5I1QYyigoxeUMbnUKsdEaST99F5%2FDfo7wpKg9XXF5w%3D,58d21ea2043bfa351d6cdbef3f2f1a65,Do we know any other descent of Isaac Newton apart from his grandfather?,"The document mentions two traditions regarding the descent of Sir Isaac Newton: one that they were of Scotch extraction and another that they came originally from Newton, in Lancashire.",2188.54,standard,TRUE,2194,
2025-08-09T13:18:48.617252,https://hackrx.blob.core.windows.net/assets/UNI%20GROUP%20HEALTH%20INSURANCE%20POLICY%20-%20UIIHLGP26043V022526%201.pdf?sv=2023-01-03&spr=https&st=2025-07-31T17%3A06%3A03Z&se=2026-08-01T17%3A06%3A00Z&sr=b&sp=r&sig=wLlooaThgRx91i2z4WaeggT0qnuUUEzIUKj42GsvMfg%3D,4b1daa774e6842b13585e55ebdf9d545,"If an insured person takes treatment for arthritis at home because no hospital beds are available, under what circumstances would these expenses NOT be covered, even if a doctor declares the treatment was medically required?",Expenses for treatment of arthritis at home would NOT be covered if the insured person's condition was not such that they could not be transferred to a hospital or if a hospital bed was available.,5034.4,standard,TRUE,204,
2025-08-09T13:18:48.618275,https://hackrx.blob.core.windows.net/assets/UNI%20GROUP%20HEALTH%20INSURANCE%20POLICY%20-%20UIIHLGP26043V022526%201.pdf?sv=2023-01-03&spr=https&st=2025-07-31T17%3A06%3A03Z&se=2026-08-01T17%3A06%3A00Z&sr=b&sp=r&sig=wLlooaThgRx91i2z4WaeggT0qnuUUEzIUKj42GsvMfg%3D,4b1daa774e6842b13585e55ebdf9d545,A claim was lodged for expenses on a prosthetic device after a hip replacement surgery. The hospital bill also includes the cost of a walker and a lumbar belt post-discharge. Which items are payable?,"The prosthetic device, walker, and lumbar belt are not payable.",5034.4,standard,TRUE,204,
